Sort Name, Vector Size, Number of Comparisons, CPU Time (s)
Bubble sort, 2000, 3998000, 0.038018
Bubble sort, 4000, 15996000, 0.130220
Bubble sort, 6000, 35994000, 0.272427
Bubble sort, 8000, 63992000, 0.479240
Bubble sort, 10000, 99990000, 0.746362
Bubble sort, 12000, 143988000, 1.093335
Bubble sort, 14000, 195986000, 1.469006
Bubble sort, 16000, 255984000, 1.919082
Bubble sort, 18000, 323982000, 2.520460
Bubble sort, 20000, 399980000, 3.070719
Bubble sort, 22000, 483978000, 3.741841
Bubble sort, 24000, 575976000, 4.472056
Bubble sort, 26000, 675974000, 5.205604
Bubble sort, 28000, 783972000, 6.189361
Bubble sort, 30000, 899970000, 7.007197
Bubble sort, 32000, 1023968000, 8.135915
Bubble sort, 34000, 1155966000, 9.677848
Bubble sort, 36000, 1295964000, 11.155090
Bubble sort, 38000, 1443962000, 11.803060
Bubble sort, 40000, 1599960000, 12.826598
Bubble sort, 42000, 1763958000, 14.005542
Bubble sort, 44000, 1935956000, 15.656375
Bubble sort, 46000, 2115954000, 17.677567
Bubble sort, 48000, 2303952000, 18.518957
Bubble sort, 50000, 2499950000, 19.881339
Insertion sort, 2000, 1019313, 0.008038
Insertion sort, 4000, 4016823, 0.029650
Insertion sort, 6000, 8933805, 0.066686
Insertion sort, 8000, 15998809, 0.118565
Insertion sort, 10000, 25262475, 0.188618
Insertion sort, 12000, 36364307, 0.277976
Insertion sort, 14000, 49224147, 0.386091
Insertion sort, 16000, 63973199, 0.492068
Insertion sort, 18000, 80941395, 0.606973
Insertion sort, 20000, 100544972, 0.757083
Insertion sort, 22000, 120922720, 0.906956
Insertion sort, 24000, 144695744, 1.082275
Insertion sort, 26000, 169807073, 1.277678
Insertion sort, 28000, 196555034, 1.519668
Insertion sort, 30000, 224856225, 1.749366
Insertion sort, 32000, 254310153, 2.012459
Insertion sort, 34000, 289232353, 2.189604
Insertion sort, 36000, 325529343, 2.489132
Insertion sort, 38000, 363637409, 2.748260
Insertion sort, 40000, 401034858, 3.189627
Insertion sort, 42000, 442559208, 3.369489
Insertion sort, 44000, 483876871, 3.693344
Insertion sort, 46000, 530296649, 4.058052
Insertion sort, 48000, 578632282, 4.393591
Insertion sort, 50000, 629665058, 4.791613
Selection sort, 2000, 1999000, 0.013854
Selection sort, 4000, 7998000, 0.056001
Selection sort, 6000, 17997000, 0.129720
Selection sort, 8000, 31996000, 0.230452
Selection sort, 10000, 49995000, 0.356484
Selection sort, 12000, 71994000, 0.500531
Selection sort, 14000, 97993000, 0.683196
Selection sort, 16000, 127992000, 0.907950
Selection sort, 18000, 161991000, 1.133593
Selection sort, 20000, 199990000, 1.413793
Selection sort, 22000, 241989000, 1.737650
Selection sort, 24000, 287988000, 2.096809
Selection sort, 26000, 337987000, 2.425971
Selection sort, 28000, 391986000, 2.750997
Selection sort, 30000, 449985000, 3.186816
Selection sort, 32000, 511984000, 3.661114
Selection sort, 34000, 577983000, 4.077645
Selection sort, 36000, 647982000, 4.818460
Selection sort, 38000, 721981000, 5.804328
Selection sort, 40000, 799980000, 5.721759
Selection sort, 42000, 881979000, 6.338280
Selection sort, 44000, 967978000, 6.980678
Selection sort, 46000, 1057977000, 7.617191
Selection sort, 48000, 1151976000, 8.294743
Selection sort, 50000, 1249975000, 9.265630
Merge sort, 2000, 19426, 0.005452
Merge sort, 4000, 42850, 0.002114
Merge sort, 6000, 67910, 0.003595
Merge sort, 8000, 93610, 0.004146
Merge sort, 10000, 120488, 0.005480
Merge sort, 12000, 147703, 0.006472
Merge sort, 14000, 175335, 0.008160
